product_id,old_sku,new_sku,name
14349,,TZ-BRAN-DUNG-93FE,"Dungeons &amp; Dragons: Dark Alliance Day One Edition"
14347,,TZ-PLAY-GHOS-E8FB,"Ghost of Tsushima Director's Cut"
14342,,TZ-PLAY-THEL-7458,"The Last Of Us Part 1"
14340,,TZ-PLAY-THEC-986A,"The Callist Protocol Day One Edition"
14339,,TZ-PLAY-TALE-AA3D,"Tales of Arise"
14336,,TZ-PLAY-RESI-81A0,"Resident Evil: Village"
14335,,TZ-PLAY-SCAR-8F65,"Scarlet Nexus"
14331,,TZ-PLAY-RESI-2CF4,"Resident Evil 4"
14330,,TZ-PLAY-OCTO-2EE7,"Octopath Traveler II"
14329,,TZ-PLAY-OVER-99C2,"Override 2 Ultraman Super Mech League Deluxe Edition"
14327,,TZ-PLAY-HELL-EFEE,"Helldivers 2"
14325,,TZ-PLAY-HOGW-E1E2,"Hogwarts Legacy"
14323,,TZ-PLAY-MEDI-4D65,"Medium Pre-Owned"
14322,,TZ-PLAY-JUDG-E56A,"Judge Eyes: Death God's Testament Remastered"
14320,,TZ-BRAN-HORI-4C38,"Horizon Forbidden West"
14316,,TZ-PLAY-GODO-6C41,"God of War Ragnarok Pre-Owned"
14313,,TZ-PLAY-FINA-83AC,"Final Fantasy XVI"
14311,,TZ-PLAY-DEMO-5D7A,"Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles"
14305,,TZ-PLAY-CRIS-C672,"Crisis Core - Final Fantasy VII Reunion"
14307,,TZ-PLAY-DEAD-2CCA,"Dead Island 2 Pulp Edition"
14304,,TZ-PLAY-EASP-BB96,"EA Sports FC 24"
14029,,TZ-NINT-YOUN-B96F,"Young Souls"
14027,,TZ-NINT-XENO-EF17,"Xenoblade Chronicles Definitive Edition"
14025,,TZ-NINT-XENO-F3B5,"Xenoblade Chronicles 2"
14020,,TZ-NINT-VOST-6940,"Vostok Inc"
14018,,TZ-NINT-VAMP-1281,"Vampyr"
14017,,TZ-NINT-VRAL-2FB5,"V-Rally 4"
14015,,TZ-NINT-UMIH-CBE1,"Umihara Karrase: Fresh!"
14014,,TZ-NINT-THEW-8BE2,"The World Ends With You: Final Remix"
14013,,TZ-NINT-THEW-1B0D,"The Walking Dead: La Temporada Final"
14012,,TZ-NINT-TWOP-53CE,"Two Point Hospital"
14011,,TZ-NINT-TWOP-3E73,"Two Point Campus Enrollment Edition"
14010,,TZ-NINT-TROL-F048,"Troll And I"
14009,,TZ-NINT-TRIA-C02A,"Triangle Strategy"
14007,,TZ-NINT-THEW-05C4,"The Wonderful 101: Remastered"
14006,,TZ-NINT-THER-C1F6,"The Raven Remastered"
14004,,TZ-NINT-THEL-CAFD,"The Legend of Zelda: Tears of The Kingdom"
14003,,TZ-NINT-THEL-7691,"The Legend of Zelda: Skyward Sword HD"
14002,,TZ-NINT-THEL-8FB3,"The Legend of Zelda: Link's Awakening"
13996,,TZ-NINT-THEC-45EA,"The Centennial Case: A Shijima Story"
13995,,TZ-NINT-THEA-6CEB,"The Alliance Alive HD Remastered"
13992,,TZ-NINT-TESL-CA55,"Teslagrad"
13990,,TZ-NINT-TALE-2461,"Tales of Symphonia Remastered"
13988,,TZ-NINT-TAIK-A158,"Taiko No Tatsujin Nintendo Switch Version"
13987,,TZ-NINT-TAIK-950D,"Taiko no Tatsujin Rhythm Festival"
13986,,TZ-NINT-SAKU-2BD6,"Sakura of Rice And Ruin"
